playerId,playerName,country,SG: Total(Avg),SG: Total(Total SG:T2G),SG: Total(Total SG:P),SG: Total(Measured Rounds),SG: Off-the-Tee(Total SG:OTT),SG: Approach the Green(Total SG:APP),SG: Around-the-Green(Total SG:ARG),SG: Putting(Avg),SG: Putting(Total SG:Putting),Driving Distance(Avg),Scrambling(%),Scrambling(Missed GIR),Overall Putting Average(Avg),Career Earnings(Money),Scoring Average (Actual)(Avg),Greens in Regulation Percentage(%),Victory Leaders(Victories),Money per Event Leaders(Money per event),Money per Event Leaders(Total money),Top 10 Finishes(Top 10),Hit Fairway Percentage(%),age,education,Winner_dummy
32139,Danny Willett,England,0.004,2.936,-2.778,42,0.657,-19.251,21.527,-0.066,-2.778,297.2,60.61,396,1.605,6304835.0,70.94,64.52,0,43538,914293.0,1,58.71,35.0,outside the US,0
34076,Joel Dahmen,United States,-0.021,7.798,-9.353,74,10.342,14.393,-16.95,-0.126,-9.353,292.1,55.4,491,1.641,9070916.0,70.41,67.91,0,65882,1712942.0,3,68.5,35.0,University of Washington,0
37275,Sam Ryder,United States,-0.028,-10.656,8.469,78,-11.919,4.818,-3.561,0.109,8.469,294.0,57.72,544,1.6,5134717.0,70.48,65.66,0,41914,1257416.0,3,60.31,33.0,Stetson University,0
49960,Sepp Straka,Austria,-0.029,-23.233,21.092,74,1.667,-18.253,-6.664,0.285,21.092,303.0,57.97,590,1.629,7934384.0,70.82,66.55,1,143104,4722434.0,5,60.89,30.0,University of Georgia,1
29970,Dylan Frittelli,South Africa,-0.041,-7.457,4.456,73,-14.008,-0.477,7.024,0.061,4.456,304.1,59.29,592,1.6,6195567.0,70.69,64.64,0,42665,1194625.0,1,50.71,33.0,University of Texas,0
51890,Greyson Sigg,United States,-0.049,0.144,-3.636,72,1.228,4.021,-5.11,-0.051,-3.636,294.9,61.12,517,1.623,1089049.0,70.23,68.09,0,29470,884085.0,1,62.0,28.0,University of Georgia,0
23325,Vaughn Taylor,United States,-0.056,10.945,-13.202,40,-6.016,15.452,1.5,-0.33,-13.202,284.7,63.64,319,1.605,19379410.0,70.15,66.56,0,17924,358473.0,1,67.88,47.0,Augusta State University,0
32448,James Hahn,United States,-0.058,13.221,-16.691,60,17.184,0.761,-4.73,-0.278,-16.691,302.8,60.87,437,1.619,12115721.0,70.32,65.81,0,45510,1183254.0,3,60.72,41.0,University of California-Berkeley,0
22056,Cameron Percy,Australia,-0.062,2.367,-4.362,32,0.663,-2.481,4.179,-0.136,-4.362,292.3,60.84,263,1.598,4919961.0,70.18,66.79,0,33885,576053.0,3,60.23,49.0,outside the US,0
25493,Nick Taylor,Canada,-0.072,2.057,-7.04,69,-2.487,1.05,3.491,-0.102,-7.04,296.1,60.07,551,1.608,8340747.0,70.73,65.21,0,29737,832637.0,0,56.46,35.0,University of Washington,0
51894,Vince Whaley,United States,-0.076,-27.971,22.864,67,-3.5,-31.232,6.754,0.341,22.864,302.0,58.12,554,1.573,1939680.0,70.08,63.79,0,35856,1039817.0,2,51.81,28.0,Georgia Tech,0
52372,Cameron Champ,United States,-0.082,4.45,-8.313,47,29.95,-8.353,-17.155,-0.177,-8.313,321.4,55.59,331,1.643,7093114.0,71.25,67.16,0,49498,940458.0,2,57.21,28.0,Texas A&M University,0
32662,Michael Gligic,Canada,-0.101,-0.964,-4.765,57,9.562,-4.975,-5.555,-0.084,-4.765,301.2,59.09,418,1.614,1511057.0,70.45,67.29,0,27175,652204.0,1,60.05,33.0,outside the US,0
29535,Brice Garnett,United States,-0.104,-6.538,0.184,61,2.565,-16.234,7.131,0.003,0.184,293.7,63.08,455,1.628,6320739.0,70.62,67.17,0,19989,579670.0,1,67.43,39.0,Missouri Western State University,0
32150,Michael Thompson,United States,-0.11,-19.009,10.833,74,-18.889,-9.865,9.743,0.146,10.833,287.9,62.43,543,1.579,12211902.0,70.26,64.09,0,44164,1148272.0,2,65.79,38.0,University of Alabama,0
24925,Jonathan Byrd,United States,-0.114,-9.067,4.183,43,-25.393,-0.119,16.44,0.097,4.183,292.9,65.42,347,1.59,20042315.0,70.4,66.18,0,27901,558025.0,1,61.53,45.0,Clemson University,0
35879,Kelly Kraft,United States,-0.121,-39.509,32.624,57,-5.81,-18.408,-15.296,0.572,32.624,289.3,57.27,454,1.585,5327511.0,70.58,63.45,0,25220,680946.0,0,66.71,34.0,Southern Methodist University,0
32757,Patton Kizzire,United States,-0.143,-0.601,-11.155,82,-13.09,17.468,-4.998,-0.136,-11.155,303.7,59.5,558,1.603,10568406.0,70.51,65.56,0,33976,985293.0,1,55.96,37.0,Auburn University,0
52375,Doug Ghim,United States,-0.157,16.875,-27.521,68,9.157,10.747,-3.044,-0.405,-27.521,295.6,60.95,507,1.628,3178590.0,70.65,66.47,0,46464,1347458.0,1,64.82,27.0,University of Texas,0
32102,Rickie Fowler,United States,-0.162,5.138,-14.181,56,-1.259,-8.989,15.353,-0.253,-14.181,309.4,56.94,483,1.594,41063411.0,70.99,62.21,0,48769,1072929.0,1,57.78,34.0,Oklahoma State University,0
34563,Chesson Hadley,United States,-0.173,-43.759,32.704,64,-27.684,-0.223,-15.855,0.511,32.704,301.8,59.12,499,1.597,10220893.0,70.73,65.35,0,41213,1195172.0,4,55.71,36.0,Georgia Tech,0
26476,Chez Reavie,United States,-0.184,13.783,-27.619,75,-15.652,35.008,-5.575,-0.368,-27.619,283.9,60.35,512,1.622,19268517.0,70.58,66.54,1,68167,1908670.0,3,70.25,41.0,Arizona State University,1
25900,Lucas Glover,United States,-0.195,30.603,-46.572,82,18.822,30.159,-18.408,-0.568,-46.572,297.5,54.43,531,1.657,28004155.0,70.78,68.28,0,69350,1941796.0,2,66.78,43.0,Clemson University,0
52374,Brandon Wu,United States,-0.195,-6.492,-3.242,50,8.267,-0.964,-13.815,-0.065,-3.242,295.3,57.8,410,1.641,1736627.0,70.31,69.22,0,56635,1472515.0,4,62.13,26.0,Stanford University,0
24024,Zach Johnson,United States,-0.203,-21.208,10.051,55,-18.567,-8.769,6.125,0.183,10.051,287.1,55.39,408,1.619,47748994.0,70.88,64.58,0,26552,610693.0,0,63.03,47.0,Drake University,0
47347,Adam Schenk,United States,-0.233,-21.995,4.045,77,-3.966,11.71,-29.754,0.053,4.045,304.0,57.99,576,1.61,4852254.0,71.03,64.44,0,41860,1339523.0,3,56.43,31.0,Purdue University,0
20229,Stewart Cink,United States,-0.252,-10.695,-5.941,66,6.603,-0.868,-16.447,-0.09,-5.941,306.2,51.82,440,1.642,42783618.0,70.69,68.25,0,41046,1026158.0,2,60.17,50.0,Georgia Tech,0
24980,Scott Gutschewski,United States,-0.258,2.942,-12.733,38,-6.219,10.022,-0.866,-0.335,-12.733,296.9,59.43,318,1.634,1906162.0,70.73,68.45,0,15275,351321.0,1,58.05,46.0,University of Nebraska,0
56278,Matthew Wolff,United States,-0.259,-25.941,16.082,38,-8.899,-24.009,6.969,0.423,16.082,318.4,55.31,320,1.58,7607287.0,71.32,62.17,0,92824,1485181.0,2,48.46,24.0,Oklahoma State University,0
40162,Justin Lower,United States,-0.261,-27.67,13.602,54,-18.022,5.006,-14.664,0.252,13.602,294.2,58.39,423,1.604,716970.0,70.39,67.36,0,29189,700545.0,2,60.92,34.0,Malone University,0
53165,Doc Redman,United States,-0.264,-24.486,7.873,63,-7.168,9.174,-26.494,0.125,7.873,294.8,56.34,465,1.632,4381122.0,70.68,67.3,0,30350,849809.0,1,60.85,25.0,Clemson University,0
39058,Lucas Herbert,Australia,-0.28,-45.297,34.103,40,-9.882,-39.172,3.744,0.853,34.103,307.3,60.73,410,1.539,2917280.0,71.28,57.82,1,127922,2558440.0,2,51.49,27.0,outside the US,1
46435,Austin Cook,United States,-0.281,-32.198,17.319,53,-18.453,-14.43,0.678,0.327,17.319,285.5,62.19,447,1.586,5764303.0,70.75,64.01,0,22089,552226.0,0,66.21,32.0,University of Arkansas,0
49298,Kramer Hickok,United States,-0.285,-0.763,-20.287,74,17.137,3.014,-20.933,-0.274,-20.287,294.5,57.17,558,1.635,3053344.0,70.74,65.93,0,28427,881229.0,1,65.98,31.0,University of Texas,0
39953,Chase Seiffert,United States,-0.289,7.008,-17.707,37,0.094,6.878,0.03,-0.479,-17.707,289.7,59.62,312,1.632,1934844.0,70.78,66.01,0,18069,343305.0,0,62.48,32.0,Florida State University,0
24924,Bill Haas,United States,-0.29,-29.928,10.238,68,-18.737,-34.895,23.702,0.151,10.238,300.5,63.46,572,1.602,30840847.0,70.54,64.69,0,15048,466497.0,0,56.03,41.0,Wake Forest University,0
40006,Erik van Rooyen,South Africa,-0.292,1.647,-13.309,40,3.603,16.42,-18.389,-0.333,-13.309,299.4,51.66,302,1.631,3896366.0,71.04,65.05,0,54560,927524.0,1,62.84,33.0,University of Minnesota,0
34360,Patrick Reed,United States,-0.299,-27.531,12.276,51,-25.641,-16.186,14.269,0.241,12.276,290.6,60.98,469,1.58,37065581.0,71.0,62.78,0,74309,1560485.0,2,58.81,33.0,Augusta University,0
36852,Jim Knous,United States,-0.312,-19.541,8.315,36,-10.433,-19.991,10.876,0.231,8.315,299.0,61.24,338,1.592,822515.0,70.86,63.18,0,16161,307059.0,0,57.87,33.0,Colorado School of Mines,0
34264,Hudson Swafford,United States,-0.314,-15.171,0.076,48,-0.363,21.042,-35.862,0.002,0.076,307.4,54.05,383,1.626,9650377.0,70.78,66.75,1,81663,1714926.0,1,59.64,35.0,University of Georgia,1
51997,Andrew Novak,United States,-0.322,5.883,-23.24,54,-4.298,8.863,1.313,-0.43,-23.24,297.1,62.13,478,1.605,559890.0,70.62,65.06,0,19765,513881.0,0,55.35,28.0,Wofford College,0
29289,S.Y. Noh,South Korea,-0.368,-31.965,15.043,46,-52.297,6.785,13.547,0.327,15.043,299.2,55.76,373,1.614,7301764.0,70.75,67.11,0,13229,291033.0,0,47.95,32.0,Korea University,0
30163,Henrik Norlander,Sweden,-0.478,-0.118,-28.555,60,-13.301,9.503,3.677,-0.476,-28.555,291.0,57.63,413,1.645,4386846.0,70.71,68.13,0,22739,613966.0,1,62.92,36.0,Augusta University,0
47983,Chad Ramey,United States,-0.51,-16.809,-11.267,55,-10.572,2.941,-9.177,-0.205,-11.267,288.9,55.36,448,1.613,1311168.0,70.68,65.91,1,45758,1281224.0,2,62.24,31.0,Mississippi State University,1
36884,Ben Kohles,United States,-0.52,-33.092,9.693,45,-24.586,5.842,-14.355,0.215,9.693,287.3,55.01,369,1.62,754452.0,70.67,67.46,0,12915,309955.0,0,60.52,33.0,University of Virginia,0
34255,Joseph Bramlett,United States,-0.54,27.535,-63.687,67,22.253,8.395,-3.115,-0.951,-63.687,318.3,52.86,454,1.667,1864691.0,70.93,68.86,0,14120,409468.0,0,52.31,35.0,Stanford University,0
33486,Roger Sloan,Canada,-0.571,-28.984,-6.389,62,-14.354,-14.962,0.329,-0.103,-6.389,296.2,55.53,479,1.594,2937452.0,71.08,63.55,0,13403,388678.0,0,59.26,36.0,University of Texas-El Paso,0
32333,Kevin Tway,United States,-0.572,-46.934,8.634,67,-7.009,-43.788,3.86,0.129,8.634,310.2,58.2,488,1.618,6840406.0,70.83,64.79,0,30906,927182.0,1,50.98,35.0,Oklahoma State University,0
12716,Charley Hoffman,United States,-0.593,-9.208,-25.193,58,0.484,-6.182,-3.527,-0.434,-25.193,309.6,56.48,432,1.619,32484698.0,70.86,65.22,0,22179,554475.0,1,51.71,46.0,University of Nevada-Las Vegas,0
37212,Paul Barjon,France,-0.605,-33.477,-4.608,63,28.601,-15.455,-46.628,-0.073,-4.608,309.4,51.47,441,1.64,543319.0,71.03,65.49,0,16797,436732.0,1,58.61,30.0,Texas Christian University,0
27649,Brandt Snedeker,United States,-0.618,-19.379,-10.906,49,-17.38,-3.983,1.973,-0.223,-10.906,287.1,57.1,359,1.635,40521339.0,71.07,66.2,0,16009,352198.0,0,63.2,42.0,Vanderbilt University,0
33667,Carlos Ortiz,Mexico,-0.622,-29.147,-3.186,52,-3.581,-7.356,-18.238,-0.061,-3.186,303.4,55.72,402,1.587,7752048.0,70.82,63.39,0,54373,1087463.0,1,57.18,32.0,University of North Texas,0
27770,Camilo Villegas,Colombia,-0.626,-0.764,-31.173,51,-16.882,0.883,15.222,-0.611,-31.173,290.9,54.8,427,1.625,20835687.0,71.17,65.62,0,12252,318554.0,0,57.12,41.0,University of Florida,0
54783,Dylan Wu,United States,-0.64,-29.589,-3.064,51,-12.201,-10.414,-6.979,-0.06,-3.064,296.5,57.32,403,1.643,453747.0,70.99,66.58,0,15309,382717.0,1,58.12,27.0,Northwestern University,0
45540,Jared Wolfe,United States,-0.644,-22.892,-7.397,47,-3.736,-8.899,-10.261,-0.157,-7.397,309.6,57.96,333,1.659,189112.0,70.76,68.64,0,8222,189112.0,0,54.66,35.0,Murray State University,0
29926,Danny Lee,New Zealand,-0.654,-15.657,-10.511,40,2.894,-3.414,-15.141,-0.263,-10.511,297.8,56.02,357,1.578,15046311.0,70.9,61.86,0,57542,1265934.0,3,55.96,33.0,Sungkyunkwan University,0
31560,Brian Stuard,United States,-0.656,-21.188,-24.103,69,-32.762,1.472,10.095,-0.349,-24.103,277.4,61.85,561,1.606,11823938.0,70.79,64.98,0,20743,705260.0,2,71.13,40.0,Oakland University,0
51950,Max McGreevy,United States,-0.662,-29.822,-7.237,56,-17.69,-12.626,0.489,-0.129,-7.237,289.8,57.63,472,1.6,999625.0,70.97,63.58,0,35701,999625.0,2,63.51,28.0,University of Oklahoma,0
30978,Kiradech Aphibarnrat,Thailand,-0.674,-23.122,-1.137,36,0.541,-14.711,-8.957,-0.032,-1.137,293.0,57.56,344,1.592,4011324.0,70.87,63.94,0,15746,299174.0,0,66.73,34.0,outside the US,0
48887,Matt Wallace,England,-0.685,-33.393,-0.16,49,-22.043,-5.336,-6.019,-0.003,-0.16,303.7,54.81,343,1.632,4469463.0,70.96,65.97,0,43731,918351.0,2,59.83,33.0,outside the US,0
27139,David Skinns,England,-0.708,-44.931,8.093,52,-42.58,-4.698,2.341,0.156,8.093,301.8,53.86,427,1.61,274311.0,71.12,64.06,0,10571,243143.0,0,51.48,41.0,University of Tennessee,0
47856,Seth Reeves,United States,-0.763,-23.867,-13.524,49,23.279,-26.141,-21.011,-0.276,-13.524,309.4,53.94,406,1.624,686162.0,71.07,66.33,0,14484,376574.0,1,60.18,32.0,Georgia Tech,0
33597,Harry Higgs,United States,-0.824,-70.626,14.622,68,-23.785,-40.807,-6.051,0.215,14.622,301.8,60.61,556,1.592,3915170.0,71.16,61.39,0,27811,834333.0,1,54.48,31.0,Southern Methodist University,0
29974,Branden Grace,South Africa,-0.834,-12.45,-23.398,43,1.186,-13.675,0.023,-0.544,-23.398,296.4,59.88,324,1.631,12296547.0,70.88,65.38,0,41637,791112.0,2,60.62,35.0,outside the US,0
32366,Kevin Chappell,United States,-0.848,-33.599,-3.72,44,0.028,-25.971,-7.657,-0.085,-3.72,310.1,51.2,332,1.623,16750817.0,71.13,66.46,0,16617,332336.0,0,53.24,37.0,UCLA,0
